step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy,train_mean_reward,full_validation_mean_reward
391,0.15463,0.95918,,,,
392,0.45982,0.84874,,,,
393,0.3628,0.92,,,,
394,0.0,1.0,,,,
395,0.7112,0.95,,,,
396,0.0,1.0,,,,
397,0.2388,0.96296,,,,
398,0.0,1.0,,,,
399,0.00058,1.0,,,,
400,0.32484,0.87234,,,,
401,0.0,1.0,,,,
402,0.01956,1.0,,,,
403,0.0001,1.0,,,,
404,0.0,1.0,,,,
405,0.0,1.0,,,,
406,0.20554,0.93617,,,,
407,0.0,1.0,,,,
408,0.0,1.0,,,,
409,0.0,1.0,,,,
410,0.0,1.0,,,,
411,0.34532,0.89474,,,,
412,0.05818,0.97368,,,,
413,0.06595,1.0,,,,
414,0.0,1.0,,,,
415,0.28969,0.92593,,,,
416,0.3064,0.86364,,,,
417,0.64339,0.94118,,,,
418,0.15687,0.9359,,,,
419,3e-05,1.0,,,,
420,1.07094,0.89474,,,,
421,0.0,1.0,,,,
422,0.0,1.0,,,,
423,0.0,1.0,,,,
424,0.06024,0.96296,,,,
425,0.2789,0.91111,,,,
426,0.0,1.0,,,,
427,0.0,1.0,,,,
428,0.89904,0.80435,,,,
429,0.0,1.0,,,,
430,0.98242,0.77027,,,,
431,0.00125,1.0,,,,
432,0.0,1.0,,,,
433,0.45544,0.87719,,,,
434,0.2705,0.92308,,,,
435,0.0,1.0,,,,
436,0.2412,0.96429,,,,
437,0.39557,0.91176,,,,
438,0.02071,1.0,,,,
439,0.29971,0.90323,,,,
440,0.51459,0.9375,,,,
441,0.46425,0.89009,,,,
442,0.73124,0.95,,,,
443,0.0,1.0,,,,
444,0.19176,0.94595,,,,
445,0.38087,0.85057,,,,
446,0.43001,0.88372,,,,
447,0.00974,1.0,,,,
448,1e-05,1.0,,,,
449,0.11154,0.96774,,,,
450,0.14883,0.94118,,,,
451,0.51113,0.85714,,,,
452,1.68355,0.61905,,,,
453,0.29376,0.92222,,,,
454,0.74224,0.86111,,,,
455,0.0,1.0,,,,
456,0.2306,0.95,,,,
457,0.0,1.0,,,,
458,0.00399,1.0,,,,
459,0.16057,0.96296,,,,
460,0.34418,0.92,,,,
461,0.13265,0.95652,,,,
462,0.00208,1.0,,,,
463,0.10178,0.95402,,,,
464,0.0,1.0,,,,
465,0.25285,0.89091,,,,
466,0.0,1.0,,,,
467,0.28884,0.88889,,,,
468,0.18622,0.96491,,,,
469,0.28335,0.95833,,,,
470,0.0,1.0,,,,
471,0.27047,0.91304,,,,
472,0.27188,0.89362,,,,
473,0.0,1.0,,,,
474,0.46961,0.825,,,,
475,1.4751,0.80952,,,,
476,0.37573,0.90909,,,,
477,1.26952,0.74324,,,,
478,0.31117,0.91139,,,,
479,0.47658,0.80769,,,,
480,0.68811,0.81707,,,,
481,0.07247,0.96774,,,,
482,0.00215,1.0,,,,
483,0.11318,0.95652,,,,
484,0.32614,0.96154,,,,
485,0.0375,1.0,,,,
486,0.00328,1.0,,,,
487,0.0,1.0,,,,
488,0.62827,0.75,,,,
489,0.0,1.0,,,,
490,0.0,1.0,,,,
491,1e-05,1.0,,,,
492,0.0,1.0,,,,
493,0.0,1.0,,,,
